,Mean,2.5%,97.5%,ESS,Rhat
"beta_Education[2,5]",-0.37,-1.48,0.75,684,1.01
"beta_Education[1,6]",-0.52,-1.75,0.67,888,1.0
"beta_Education[2,6]",-0.21,-1.32,0.95,674,1.01
mu_beta_Education[1],-0.21,-1.53,1.11,1914,1.0
mu_beta_Education[2],-0.26,-1.54,1.02,1742,1.0
mu_beta_Education[3],-0.28,-1.56,1.0,1668,1.0
mu_beta_Education[4],-0.28,-1.58,1.02,1652,1.0
mu_beta_Education[5],-0.18,-1.45,1.09,1771,1.0
mu_beta_Education[6],-0.25,-1.61,1.05,1806,1.0
"beta_Employment[1,1]",-0.68,-1.88,0.52,1017,1.0
"beta_Employment[2,1]",-0.19,-1.32,1.02,759,1.0
"beta_Employment[1,2]",0.08,-1.18,1.39,1105,1.01
"beta_Employment[2,2]",-0.39,-1.53,0.84,787,1.0
"beta_Employment[1,3]",-0.52,-1.89,0.82,1218,1.0
"beta_Employment[2,3]",-0.6,-1.78,0.6,862,1.0
"beta_Employment[1,4]",-1.08,-2.42,0.32,1219,1.0
"beta_Employment[2,4]",-0.49,-1.63,0.73,794,1.0
"beta_Employment[1,5]",-0.4,-1.65,0.86,1165,1.0
"beta_Employment[2,5]",-0.21,-1.36,1.0,795,1.0
mu_beta_Employment[1],-0.29,-1.58,1.04,2193,1.0
mu_beta_Employment[2],-0.11,-1.41,1.21,1803,1.0
mu_beta_Employment[3],-0.37,-1.69,0.95,2446,1.0
mu_beta_Employment[4],-0.53,-1.84,0.79,2011,1.0
mu_beta_Employment[5],-0.2,-1.51,1.14,2171,1.0
"beta_Religion[1,1]",-1.17,-2.39,0.09,959,1.0
"beta_Religion[2,1]",-0.26,-1.44,0.93,847,1.01
"beta_Religion[1,2]",0.34,-1.33,1.97,1545,1.0
"beta_Religion[2,2]",-0.25,-1.58,1.1,1048,1.0
"beta_Religion[1,3]",-0.45,-1.86,0.97,1186,1.0
"beta_Religion[2,3]",-0.49,-1.73,0.77,880,1.01
"beta_Religion[1,4]",-0.88,-2.11,0.36,957,1.0
"beta_Religion[2,4]",-0.42,-1.61,0.79,837,1.01
"beta_Religion[1,5]",-0.44,-1.68,0.82,967,1.0
"beta_Religion[2,5]",-0.38,-1.58,0.81,845,1.01
mu_beta_Religion[1],-0.48,-1.79,0.79,2167,1.0
mu_beta_Religion[2],0.03,-1.33,1.4,1850,1.0
mu_beta_Religion[3],-0.3,-1.77,1.07,2112,1.0
mu_beta_Religion[4],-0.44,-1.79,0.88,1983,1.0
mu_beta_Religion[5],-0.26,-1.68,1.07,1924,1.0
"beta_Political[1,1]",-0.52,-1.73,0.66,848,1.01
"beta_Political[2,1]",-0.34,-1.54,0.87,792,1.0
"beta_Political[1,2]",-0.6,-1.81,0.57,826,1.01
"beta_Political[2,2]",-0.32,-1.52,0.85,789,1.0
"beta_Political[1,3]",-0.52,-1.8,0.72,902,1.01
"beta_Political[2,3]",-0.75,-1.95,0.5,809,1.0
"beta_Political[1,4]",-0.39,-1.73,0.89,997,1.0
"beta_Political[2,4]",-0.11,-1.37,1.13,829,1.0
"beta_Political[1,5]",-0.56,-1.8,0.66,851,1.0
"beta_Political[2,5]",-0.32,-1.54,0.9,785,1.0
mu_beta_Political[1],-0.27,-1.61,1.03,1891,1.0
mu_beta_Political[2],-0.31,-1.61,1.0,1883,1.0
mu_beta_Political[3],-0.43,-1.79,0.87,2077,1.0
mu_beta_Political[4],-0.16,-1.54,1.18,2024,1.0
mu_beta_Political[5],-0.3,-1.58,1.01,1977,1.0
"beta_Ethnicity[1,1]",-0.63,-2.01,0.67,1102,1.0
"beta_Ethnicity[2,1]",-0.61,-1.95,0.73,931,1.0
"beta_Ethnicity[1,2]",-0.08,-1.65,1.43,1378,1.0
"beta_Ethnicity[2,2]",-0.51,-1.86,0.89,943,1.0
"beta_Ethnicity[1,3]",-0.75,-2.2,0.64,1186,1.0
"beta_Ethnicity[2,3]",-0.25,-1.62,1.12,896,1.0
"beta_Ethnicity[1,4]",-1.1,-2.64,0.44,1463,1.0
"beta_Ethnicity[2,4]",-0.44,-1.85,0.96,932,1.0
mu_beta_Ethnicity[1],-0.43,-1.8,0.97,1855,1.0
mu_beta_Ethnicity[2],-0.19,-1.53,1.22,1949,1.0
mu_beta_Ethnicity[3],-0.34,-1.74,1.07,1917,1.0
mu_beta_Ethnicity[4],-0.5,-1.89,0.85,1960,1.0
"beta_Income[1,1]",-0.31,-1.48,0.84,738,1.0
"beta_Income[2,1]",-0.17,-1.26,0.94,765,1.0
"beta_Income[1,2]",-0.67,-1.81,0.5,715,1.0
"beta_Income[2,2]",-0.2,-1.3,0.92,758,1.0
"beta_Income[1,3]",-0.35,-1.51,0.78,716,1.0
"beta_Income[2,3]",-0.37,-1.48,0.73,766,1.0
"beta_Income[1,4]",-0.3,-1.45,0.83,723,1.0
"beta_Income[2,4]",-0.38,-1.49,0.71,763,1.0
"beta_Income[1,5]",-0.39,-1.54,0.81,776,1.0
"beta_Income[2,5]",-0.3,-1.42,0.78,771,1.0
"beta_Income[1,6]",-0.46,-1.69,0.73,840,1.0
"beta_Income[2,6]",-0.27,-1.42,0.86,798,1.0
mu_beta_Income[1],-0.16,-1.5,1.17,1723,1.0
mu_beta_Income[2],-0.3,-1.55,1.05,1749,1.0
mu_beta_Income[3],-0.25,-1.47,1.03,1776,1.0
mu_beta_Income[4],-0.22,-1.49,1.1,1998,1.0
mu_beta_Income[5],-0.23,-1.54,1.12,1880,1.0
mu_beta_Income[6],-0.23,-1.54,1.09,1878,1.0
"beta_Social_media_usage[1,1]",-0.23,-1.32,0.84,764,1.01
"beta_Social_media_usage[2,1]",-0.31,-1.35,0.72,661,1.01
"beta_Social_media_usage[1,2]",-0.78,-1.9,0.31,860,1.01
"beta_Social_media_usage[2,2]",-0.42,-1.44,0.61,617,1.01
"beta_Social_media_usage[1,3]",-0.31,-1.4,0.71,761,1.01
"beta_Social_media_usage[2,3]",-0.25,-1.27,0.79,626,1.02
"beta_Social_media_usage[1,4]",-0.43,-1.52,0.64,757,1.01
"beta_Social_media_usage[2,4]",-0.32,-1.34,0.71,633,1.02
"beta_Social_media_usage[1,5]",-0.24,-1.32,0.81,775,1.01
"beta_Social_media_usage[2,5]",-0.08,-1.13,0.95,635,1.02
"beta_Social_media_usage[1,6]",-0.3,-1.46,0.79,810,1.01
"beta_Social_media_usage[2,6]",-0.05,-1.09,1.0,638,1.01
"beta_Social_media_usage[1,7]",-0.13,-1.24,0.96,813,1.01
"beta_Social_media_usage[2,7]",-0.24,-1.3,0.79,639,1.02
mu_beta_Social_media_usage[1],-0.17,-1.46,1.14,1849,1.0
mu_beta_Social_media_usage[2],-0.4,-1.69,0.87,1766,1.0
mu_beta_Social_media_usage[3],-0.17,-1.42,1.1,1563,1.01
mu_beta_Social_media_usage[4],-0.25,-1.52,1.05,1976,1.0
mu_beta_Social_media_usage[5],-0.11,-1.36,1.17,2043,1.0
mu_beta_Social_media_usage[6],-0.11,-1.4,1.17,1766,1.0
mu_beta_Social_media_usage[7],-0.12,-1.38,1.14,2060,1.0
mu_beta,5.91,4.74,7.08,4988,1.0
beta[1],9.4,8.53,10.27,2713,1.0
beta[2],8.31,7.81,8.84,3246,1.0
mu_delta[1],1.81,0.35,4.36,4682,1.0
mu_delta[2],1.53,0.31,3.56,4570,1.0
mu_delta[3],1.39,0.29,3.28,4903,1.0
"delta[1,1]",0.44,0.39,0.49,3493,1.0
"delta[2,1]",0.38,0.35,0.4,3658,1.0
"delta[1,2]",0.34,0.28,0.39,5882,1.0
"delta[2,2]",0.3,0.27,0.34,5903,1.0
"delta[1,3]",0.23,0.15,0.3,3317,1.0
"delta[2,3]",0.32,0.27,0.36,3455,1.0
mu_alpha[1],-1.57,-3.03,-0.17,2219,1.0
mu_alpha[2],0.78,-0.65,2.18,2250,1.0
mu_alpha[3],2.25,0.87,3.68,2395,1.0
"alpha[1,1]",-2.64,-4.16,-1.16,1651,1.0
"alpha[2,1]",-2.09,-3.58,-0.64,1672,1.0
"alpha[1,2]",1.39,-0.12,2.88,1756,1.0
"alpha[2,2]",0.9,-0.6,2.37,1686,1.0
"alpha[1,3]",3.78,2.23,5.32,1826,1.0
"alpha[2,3]",3.0,1.51,4.46,1689,1.0
