,Mean,2.5%,97.5%,ESS,Rhat
"beta_Employment[1,4]",0.27,-1.38,1.87,2858,1.0
"beta_Employment[2,4]",0.25,-1.08,1.64,2147,1.0
"beta_Employment[1,5]",0.81,-0.72,2.4,2607,1.0
"beta_Employment[2,5]",0.37,-0.97,1.73,2077,1.0
mu_beta_Employment[1],-0.05,-1.4,1.35,3096,1.0
mu_beta_Employment[2],-0.1,-1.5,1.28,3163,1.0
mu_beta_Employment[3],0.02,-1.41,1.45,3531,1.0
mu_beta_Employment[4],0.16,-1.28,1.57,3396,1.0
mu_beta_Employment[5],0.39,-1.02,1.79,3303,1.0
"beta_Religion[1,1]",0.11,-1.32,1.57,3115,1.0
"beta_Religion[2,1]",0.56,-0.69,1.82,2319,1.0
"beta_Religion[1,2]",0.13,-2.18,2.45,4313,1.0
"beta_Religion[2,2]",-0.16,-1.52,1.26,2482,1.0
"beta_Religion[1,3]",-0.03,-1.78,1.71,3875,1.0
"beta_Religion[2,3]",-0.47,-1.97,1.04,3049,1.0
"beta_Religion[1,4]",0.56,-1.06,2.19,3475,1.0
"beta_Religion[2,4]",0.26,-1.01,1.58,2448,1.0
"beta_Religion[1,5]",0.12,-1.35,1.55,3216,1.0
"beta_Religion[2,5]",0.54,-0.72,1.79,2305,1.0
mu_beta_Religion[1],0.23,-1.15,1.62,3597,1.0
mu_beta_Religion[2],-0.01,-1.51,1.56,4083,1.0
mu_beta_Religion[3],-0.17,-1.6,1.26,4399,1.0
mu_beta_Religion[4],0.28,-1.11,1.62,3790,1.0
mu_beta_Religion[5],0.21,-1.15,1.6,3993,1.0
"beta_Political[1,1]",0.41,-1.25,2.12,2763,1.0
"beta_Political[2,1]",0.09,-1.54,1.73,2670,1.0
"beta_Political[1,2]",-0.11,-1.76,1.57,2908,1.0
"beta_Political[2,2]",0.08,-1.57,1.66,2739,1.0
"beta_Political[1,3]",0.51,-1.13,2.14,2848,1.0
"beta_Political[2,3]",0.42,-1.24,2.02,2621,1.0
mu_beta_Political[1],0.17,-1.36,1.61,3228,1.0
mu_beta_Political[2],-0.01,-1.46,1.48,3353,1.0
mu_beta_Political[3],0.3,-1.12,1.71,3288,1.0
"beta_Ethnicity[1,1]",0.21,-1.16,1.58,2413,1.0
"beta_Ethnicity[2,1]",0.49,-0.8,1.76,2102,1.0
"beta_Ethnicity[1,2]",-0.45,-1.98,1.1,2946,1.0
"beta_Ethnicity[2,2]",0.22,-1.19,1.54,2257,1.0
"beta_Ethnicity[1,3]",0.19,-1.26,1.62,2712,1.0
"beta_Ethnicity[2,3]",0.53,-0.81,1.84,2159,1.0
"beta_Ethnicity[1,4]",-0.19,-1.94,1.51,3656,1.0
"beta_Ethnicity[2,4]",-0.72,-2.16,0.73,2476,1.0
"beta_Ethnicity[1,5]",1.09,-0.52,2.65,3086,1.0
"beta_Ethnicity[2,5]",0.19,-1.16,1.53,2234,1.0
mu_beta_Ethnicity[1],0.24,-1.13,1.59,3768,1.0
mu_beta_Ethnicity[2],-0.07,-1.48,1.3,3247,1.0
mu_beta_Ethnicity[3],0.23,-1.16,1.62,3489,1.0
mu_beta_Ethnicity[4],-0.3,-1.78,1.11,3766,1.0
mu_beta_Ethnicity[5],0.43,-0.96,1.8,3266,1.0
"beta_Income[1,1]",0.62,-0.7,1.93,2865,1.0
"beta_Income[2,1]",-0.08,-1.21,1.06,2072,1.0
"beta_Income[1,2]",0.11,-1.18,1.35,2494,1.0
"beta_Income[2,2]",0.25,-0.89,1.36,2107,1.0
"beta_Income[1,3]",0.34,-1.02,1.69,2840,1.0
"beta_Income[2,3]",-0.05,-1.19,1.09,2107,1.0
"beta_Income[1,4]",-0.11,-1.38,1.15,2639,1.0
"beta_Income[2,4]",0.22,-0.97,1.35,2232,1.0
"beta_Income[1,5]",-0.62,-2.11,0.86,3109,1.0
"beta_Income[2,5]",0.09,-1.12,1.26,2203,1.0
"beta_Income[1,6]",0.55,-0.83,1.98,3027,1.0
"beta_Income[2,6]",0.22,-1.0,1.44,2408,1.0
mu_beta_Income[1],0.18,-1.16,1.52,4055,1.0
mu_beta_Income[2],0.11,-1.2,1.47,3733,1.0
mu_beta_Income[3],0.09,-1.24,1.39,3364,1.0
mu_beta_Income[4],0.03,-1.28,1.28,3357,1.0
mu_beta_Income[5],-0.17,-1.49,1.13,4005,1.0
mu_beta_Income[6],0.26,-1.02,1.59,3576,1.0
"beta_Trust_Television[1,1]",0.75,-1.17,2.65,3342,1.0
"beta_Trust_Television[2,1]",0.41,-1.55,2.38,3090,1.0
"beta_Trust_Television[1,2]",0.07,-1.89,2.03,3432,1.0
"beta_Trust_Television[2,2]",0.24,-1.73,2.17,3083,1.0
mu_beta_Trust_Television[1],0.39,-1.21,2.0,3616,1.0
mu_beta_Trust_Television[2],0.1,-1.5,1.68,3541,1.0
"beta_Trust_Radio[1,1]",0.72,-1.26,2.79,3504,1.0
"beta_Trust_Radio[2,1]",0.54,-1.44,2.56,3561,1.0
"beta_Trust_Radio[1,2]",0.09,-1.89,2.1,3797,1.0
"beta_Trust_Radio[2,2]",0.05,-1.88,2.06,3611,1.0
mu_beta_Trust_Radio[1],0.43,-1.18,2.06,3727,1.0
mu_beta_Trust_Radio[2],0.04,-1.61,1.69,3730,1.0
"beta_Trust_Newspapers[1,1]",0.37,-1.62,2.41,3428,1.0
"beta_Trust_Newspapers[2,1]",0.15,-1.81,2.1,2926,1.0
"beta_Trust_Newspapers[1,2]",0.39,-1.7,2.39,3160,1.0
"beta_Trust_Newspapers[2,2]",0.45,-1.48,2.38,3108,1.0
mu_beta_Trust_Newspapers[1],0.17,-1.41,1.77,3307,1.0
mu_beta_Trust_Newspapers[2],0.28,-1.27,1.82,3127,1.0
"beta_Trust_White_House_Briefings[1,1]",0.23,-1.75,2.19,3600,1.0
"beta_Trust_White_House_Briefings[2,1]",0.15,-1.78,2.07,3280,1.0
"beta_Trust_White_House_Briefings[1,2]",0.6,-1.45,2.64,3649,1.0
"beta_Trust_White_House_Briefings[2,2]",0.49,-1.44,2.46,3228,1.0
mu_beta_Trust_White_House_Briefings[1],0.12,-1.44,1.65,3450,1.0
mu_beta_Trust_White_House_Briefings[2],0.36,-1.23,1.95,3481,1.0
"beta_Trust_State_Govt_Briefings[1,1]",0.48,-1.5,2.5,3276,1.0
"beta_Trust_State_Govt_Briefings[2,1]",0.35,-1.6,2.31,3140,1.0
"beta_Trust_State_Govt_Briefings[1,2]",0.33,-1.62,2.37,3296,1.0
"beta_Trust_State_Govt_Briefings[2,2]",0.31,-1.61,2.26,3112,1.0
mu_beta_Trust_State_Govt_Briefings[1],0.27,-1.3,1.93,3332,1.0
mu_beta_Trust_State_Govt_Briefings[2],0.21,-1.37,1.8,3285,1.0
"beta_Trust_National_Health_Authorities[1,1]",0.3,-1.71,2.31,2855,1.0
"beta_Trust_National_Health_Authorities[2,1]",0.28,-1.7,2.21,2939,1.0
"beta_Trust_National_Health_Authorities[1,2]",0.5,-1.4,2.52,2913,1.0
"beta_Trust_National_Health_Authorities[2,2]",0.37,-1.62,2.33,2928,1.0
mu_beta_Trust_National_Health_Authorities[1],0.19,-1.42,1.84,3319,1.0
mu_beta_Trust_National_Health_Authorities[2],0.29,-1.32,1.92,2986,1.0
"beta_Trust_International_Health_Authorities[1,1]",0.34,-1.59,2.24,3730,1.0
"beta_Trust_International_Health_Authorities[2,1]",0.5,-1.46,2.4,3258,1.0
"beta_Trust_International_Health_Authorities[1,2]",0.42,-1.58,2.32,3651,1.0
"beta_Trust_International_Health_Authorities[2,2]",0.13,-1.81,2.05,3239,1.0
mu_beta_Trust_International_Health_Authorities[1],0.28,-1.36,1.84,3361,1.0
mu_beta_Trust_International_Health_Authorities[2],0.19,-1.44,1.81,3873,1.0
"beta_Trust_Healthcare_Workers[1,1]",0.61,-1.38,2.64,3092,1.0
"beta_Trust_Healthcare_Workers[2,1]",0.31,-1.6,2.24,3332,1.0
"beta_Trust_Healthcare_Workers[1,2]",0.2,-1.74,2.26,3253,1.0
"beta_Trust_Healthcare_Workers[2,2]",0.37,-1.56,2.27,3261,1.0
mu_beta_Trust_Healthcare_Workers[1],0.31,-1.19,1.85,3303,1.0
mu_beta_Trust_Healthcare_Workers[2],0.18,-1.35,1.76,3357,1.0
"beta_Trust_Scientists[1,1]",0.42,-1.56,2.44,3363,1.0
"beta_Trust_Scientists[2,1]",0.11,-1.91,2.07,3595,1.0
"beta_Trust_Scientists[1,2]",0.43,-1.58,2.46,3348,1.0
"beta_Trust_Scientists[2,2]",0.57,-1.41,2.51,3518,1.0
mu_beta_Trust_Scientists[1],0.18,-1.41,1.82,3703,1.0
mu_beta_Trust_Scientists[2],0.34,-1.28,1.97,3444,1.0
"beta_Trust_Govt_Websites[1,1]",-0.08,-2.14,1.88,3649,1.0
"beta_Trust_Govt_Websites[2,1]",0.47,-1.43,2.37,3354,1.0
"beta_Trust_Govt_Websites[1,2]",0.95,-1.15,2.95,3390,1.0
"beta_Trust_Govt_Websites[2,2]",0.23,-1.64,2.13,3358,1.0
mu_beta_Trust_Govt_Websites[1],0.14,-1.47,1.75,3431,1.0
mu_beta_Trust_Govt_Websites[2],0.39,-1.18,1.95,3434,1.0
"beta_Trust_Social_Media[1,1]",0.4,-1.49,2.34,3938,1.0
"beta_Trust_Social_Media[2,1]",-0.13,-2.05,1.76,3862,1.0
"beta_Trust_Social_Media[1,2]",0.38,-1.58,2.31,3721,1.0
"beta_Trust_Social_Media[2,2]",0.72,-1.13,2.58,3918,1.0
mu_beta_Trust_Social_Media[1],0.1,-1.42,1.62,4008,1.0
mu_beta_Trust_Social_Media[2],0.36,-1.2,1.92,3808,1.0
"beta_Trust_Celebrities[1,1]",0.24,-1.89,2.39,4091,1.0
"beta_Trust_Celebrities[2,1]",0.83,-1.23,2.84,4062,1.0
"beta_Trust_Celebrities[1,2]",0.53,-1.69,2.74,4513,1.0
"beta_Trust_Celebrities[2,2]",-0.24,-2.25,1.77,3937,1.0
mu_beta_Trust_Celebrities[1],0.35,-1.27,1.93,4166,1.0
mu_beta_Trust_Celebrities[2],0.1,-1.57,1.76,4623,1.0
"beta_Trust_Search_Engines[1,1]",0.27,-1.68,2.29,3742,1.0
"beta_Trust_Search_Engines[2,1]",0.3,-1.69,2.23,3645,1.0
"beta_Trust_Search_Engines[1,2]",0.52,-1.42,2.57,3684,1.0
"beta_Trust_Search_Engines[2,2]",0.34,-1.65,2.24,3555,1.0
mu_beta_Trust_Search_Engines[1],0.18,-1.42,1.78,3640,1.0
mu_beta_Trust_Search_Engines[2],0.28,-1.31,1.86,3676,1.0
"beta_Trust_Family_and_friends[1,1]",0.55,-1.4,2.49,3112,1.0
"beta_Trust_Family_and_friends[2,1]",0.26,-1.66,2.24,3131,1.0
"beta_Trust_Family_and_friends[1,2]",0.29,-1.72,2.31,2825,1.0
"beta_Trust_Family_and_friends[2,2]",0.4,-1.48,2.39,3325,1.0
mu_beta_Trust_Family_and_friends[1],0.27,-1.35,1.88,2784,1.0
mu_beta_Trust_Family_and_friends[2],0.23,-1.43,1.81,3452,1.0
"beta_Trust_Work_Guidelines[1,1]",0.38,-1.62,2.38,3483,1.0
"beta_Trust_Work_Guidelines[2,1]",0.61,-1.34,2.52,3444,1.0
"beta_Trust_Work_Guidelines[1,2]",0.48,-1.51,2.5,3430,1.0
"beta_Trust_Work_Guidelines[2,2]",0.06,-1.91,1.97,3360,1.0
mu_beta_Trust_Work_Guidelines[1],0.31,-1.31,1.87,3699,1.0
mu_beta_Trust_Work_Guidelines[2],0.19,-1.38,1.79,3545,1.0
"beta_Trust_Other[1,1]",0.01,-2.15,2.18,3989,1.0
"beta_Trust_Other[2,1]",-0.04,-2.02,1.94,3741,1.0
"beta_Trust_Other[1,2]",0.82,-1.38,3.02,4148,1.0
"beta_Trust_Other[2,2]",0.67,-1.32,2.69,3709,1.0
mu_beta_Trust_Other[1],-0.01,-1.61,1.61,4094,1.0
mu_beta_Trust_Other[2],0.49,-1.15,2.14,4063,1.0
"beta_Trust_None_of_these[1,1]",0.25,-1.75,2.16,3912,1.0
"beta_Trust_None_of_these[2,1]",-0.04,-1.91,1.89,3592,1.0
"beta_Trust_None_of_these[1,2]",0.59,-1.39,2.51,4010,1.0
"beta_Trust_None_of_these[2,2]",0.72,-1.19,2.64,3583,1.0
mu_beta_Trust_None_of_these[1],0.07,-1.54,1.61,3765,1.0
mu_beta_Trust_None_of_these[2],0.42,-1.16,1.99,3646,1.0
mu_delta[1],1.65,0.34,3.84,5046,1.0
mu_delta[2],1.4,0.29,3.3,4902,1.0
mu_delta[3],1.72,0.37,4.03,5678,1.0
"delta[1,1]",0.34,0.29,0.39,4351,1.0
"delta[2,1]",0.37,0.34,0.4,4493,1.0
"delta[1,2]",0.26,0.2,0.31,5867,1.0
"delta[2,2]",0.29,0.25,0.32,5753,1.0
"delta[1,3]",0.41,0.34,0.47,4667,1.0
"delta[2,3]",0.34,0.31,0.38,5123,1.0
mu_alpha[1],1.07,-0.04,2.2,7166,1.0
mu_alpha[2],2.83,1.73,3.93,6967,1.0
mu_alpha[3],4.19,3.05,5.34,6387,1.0
"alpha[1,1]",1.89,1.62,2.17,5691,1.0
"alpha[2,1]",1.32,1.19,1.47,6011,1.0
"alpha[1,2]",4.5,4.09,4.92,6216,1.0
"alpha[2,2]",4.01,3.79,4.23,6023,1.0
"alpha[1,3]",6.6,6.09,7.12,6779,1.0
"alpha[2,3]",6.0,5.72,6.29,7111,1.0
