,Mean,2.5%,97.5%,ESS,Rhat
mu_beta_Income[3],0.29,-1.09,1.72,3468,1.0
mu_beta_Income[4],-0.04,-1.37,1.33,3915,1.0
mu_beta_Income[5],-0.21,-1.63,1.22,3494,1.0
mu_beta_Income[6],0.28,-1.1,1.66,3548,1.0
"beta_Reason_Unsure_if_safe[1,1]",-0.05,-2.11,1.94,2254,1.0
"beta_Reason_Unsure_if_safe[2,1]",-0.3,-2.23,1.59,2272,1.0
"beta_Reason_Unsure_if_safe[1,2]",1.03,-1.02,3.09,2399,1.0
"beta_Reason_Unsure_if_safe[2,2]",1.03,-0.9,2.93,2203,1.0
mu_beta_Reason_Unsure_if_safe[1],-0.12,-1.77,1.48,2319,1.0
mu_beta_Reason_Unsure_if_safe[2],0.69,-0.88,2.21,2545,1.0
"beta_Reason_Unsure_if_effective[1,1]",0.4,-1.59,2.36,2496,1.0
"beta_Reason_Unsure_if_effective[2,1]",0.34,-1.51,2.29,2168,1.0
"beta_Reason_Unsure_if_effective[1,2]",0.55,-1.44,2.57,2614,1.0
"beta_Reason_Unsure_if_effective[2,2]",0.36,-1.52,2.32,2122,1.0
mu_beta_Reason_Unsure_if_effective[1],0.24,-1.39,1.85,2638,1.0
mu_beta_Reason_Unsure_if_effective[2],0.31,-1.29,1.98,2874,1.0
"beta_Reason_Not_at_risk[1,1]",0.92,-1.13,2.92,2671,1.0
"beta_Reason_Not_at_risk[2,1]",0.21,-1.75,2.14,2660,1.0
"beta_Reason_Not_at_risk[1,2]",0.01,-1.98,2.01,2506,1.0
"beta_Reason_Not_at_risk[2,2]",0.5,-1.41,2.43,2541,1.0
mu_beta_Reason_Not_at_risk[1],0.38,-1.18,1.95,3121,1.0
mu_beta_Reason_Not_at_risk[2],0.17,-1.41,1.73,2625,1.0
"beta_Reason_Wait_until_others[1,1]",0.72,-1.23,2.65,2510,1.0
"beta_Reason_Wait_until_others[2,1]",0.9,-1.02,2.74,2414,1.0
"beta_Reason_Wait_until_others[1,2]",0.21,-1.76,2.11,2611,1.0
"beta_Reason_Wait_until_others[2,2]",-0.18,-2.06,1.67,2400,1.0
mu_beta_Reason_Wait_until_others[1],0.54,-1.03,2.1,2642,1.0
mu_beta_Reason_Wait_until_others[2],0.02,-1.55,1.63,2802,1.0
"beta_Reason_Wont_be_ill[1,1]",0.07,-1.87,2.04,2571,1.0
"beta_Reason_Wont_be_ill[2,1]",0.4,-1.54,2.32,2393,1.0
"beta_Reason_Wont_be_ill[1,2]",0.81,-1.16,2.85,2553,1.0
"beta_Reason_Wont_be_ill[2,2]",0.22,-1.76,2.16,2417,1.0
mu_beta_Reason_Wont_be_ill[1],0.17,-1.46,1.76,2781,1.0
mu_beta_Reason_Wont_be_ill[2],0.34,-1.2,1.9,2524,1.0
"beta_Reason_Other_effective_treatments[1,1]",0.66,-1.34,2.6,2358,1.0
"beta_Reason_Other_effective_treatments[2,1]",0.48,-1.4,2.32,2015,1.0
"beta_Reason_Other_effective_treatments[1,2]",0.31,-1.72,2.27,2590,1.0
"beta_Reason_Other_effective_treatments[2,2]",0.24,-1.63,2.09,2028,1.0
mu_beta_Reason_Other_effective_treatments[1],0.38,-1.19,1.93,2770,1.0
mu_beta_Reason_Other_effective_treatments[2],0.17,-1.45,1.71,2505,1.0
"beta_Reason_Already_acquired_immunity[1,1]",0.77,-1.2,2.7,2711,1.0
"beta_Reason_Already_acquired_immunity[2,1]",0.43,-1.52,2.31,2503,1.0
"beta_Reason_Already_acquired_immunity[1,2]",0.18,-1.8,2.24,2640,1.0
"beta_Reason_Already_acquired_immunity[2,2]",0.3,-1.62,2.27,2441,1.0
mu_beta_Reason_Already_acquired_immunity[1],0.41,-1.18,1.99,2857,1.0
mu_beta_Reason_Already_acquired_immunity[2],0.16,-1.37,1.74,2824,1.0
"beta_Reason_Approval_may_be_rushed[1,1]",0.51,-1.46,2.47,2588,1.0
"beta_Reason_Approval_may_be_rushed[2,1]",0.14,-1.76,2.09,2486,1.0
"beta_Reason_Approval_may_be_rushed[1,2]",0.39,-1.58,2.4,2367,1.0
"beta_Reason_Approval_may_be_rushed[2,2]",0.53,-1.4,2.4,2518,1.0
mu_beta_Reason_Approval_may_be_rushed[1],0.21,-1.35,1.82,2695,1.0
mu_beta_Reason_Approval_may_be_rushed[2],0.32,-1.26,1.9,2786,1.0
"beta_Reason_Other[1,1]",-0.29,-2.34,1.79,2899,1.0
"beta_Reason_Other[2,1]",-0.37,-2.34,1.56,2723,1.0
"beta_Reason_Other[1,2]",1.2,-0.9,3.31,3076,1.0
"beta_Reason_Other[2,2]",1.02,-0.97,3.0,2796,1.0
mu_beta_Reason_Other[1],-0.22,-1.83,1.34,2977,1.0
mu_beta_Reason_Other[2],0.74,-0.85,2.36,3095,1.0
"beta_Reason_Do_not_know[1,1]",-0.16,-2.13,1.86,2627,1.0
"beta_Reason_Do_not_know[2,1]",0.02,-1.82,1.93,1924,1.0
"beta_Reason_Do_not_know[1,2]",1.08,-0.94,3.16,2405,1.0
"beta_Reason_Do_not_know[2,2]",0.67,-1.23,2.6,1975,1.0
mu_beta_Reason_Do_not_know[1],-0.05,-1.64,1.55,2611,1.0
mu_beta_Reason_Do_not_know[2],0.59,-1.0,2.13,2551,1.0
mu_delta[1],1.33,0.23,3.46,6184,1.0
mu_delta[2],1.59,0.25,4.16,6186,1.0
"delta[1,1]",0.41,0.34,0.49,5280,1.0
"delta[2,1]",0.44,0.39,0.49,7072,1.0
"delta[1,2]",0.59,0.51,0.66,5280,1.0
"delta[2,2]",0.56,0.51,0.61,7072,1.0
mu_alpha[1],-0.94,-2.11,0.25,8259,1.0
mu_alpha[2],1.06,-0.09,2.19,8504,1.0
mu_alpha[3],2.62,1.48,3.74,8467,1.0
"alpha[1,1]",-1.17,-1.44,-0.91,6586,1.0
"alpha[2,1]",-1.65,-1.83,-1.48,5329,1.0
"alpha[1,2]",1.82,1.5,2.15,6949,1.0
"alpha[2,2]",1.32,1.17,1.47,5250,1.0
"alpha[1,3]",4.43,3.88,4.99,7034,1.0
"alpha[2,3]",3.47,3.22,3.72,7050,1.0
