,Mean,2.5%,97.5%,ESS,Rhat
"beta_Education[1,6]",0.23,-1.68,2.21,3338,1.0
"beta_Education[2,6]",0.43,-1.12,1.98,2865,1.0
mu_beta_Education[1],0.1,-1.46,1.56,3458,1.0
mu_beta_Education[2],0.05,-1.37,1.47,3653,1.0
mu_beta_Education[3],0.17,-1.24,1.62,3495,1.0
mu_beta_Education[4],0.39,-1.04,1.81,3303,1.0
mu_beta_Education[5],-0.0,-1.46,1.42,3396,1.0
mu_beta_Education[6],0.22,-1.23,1.65,3462,1.0
"beta_Employment[1,1]",-0.78,-2.58,0.95,2574,1.0
"beta_Employment[2,1]",0.7,-0.73,2.14,2058,1.0
"beta_Employment[1,2]",0.55,-1.52,2.67,3266,1.0
"beta_Employment[2,2]",-0.12,-1.74,1.57,2529,1.0
"beta_Employment[1,3]",-0.43,-2.66,1.77,3280,1.0
"beta_Employment[2,3]",-0.44,-2.3,1.44,2805,1.0
"beta_Employment[1,4]",0.8,-1.55,3.08,3224,1.0
"beta_Employment[2,4]",1.05,-0.87,2.97,2743,1.0
"beta_Employment[1,5]",1.31,-0.7,3.32,3073,1.0
"beta_Employment[2,5]",0.08,-1.47,1.68,2163,1.0
mu_beta_Employment[1],-0.03,-1.45,1.42,2649,1.0
mu_beta_Employment[2],0.14,-1.41,1.66,3161,1.0
mu_beta_Employment[3],-0.28,-1.94,1.33,2825,1.0
mu_beta_Employment[4],0.62,-1.01,2.25,3027,1.0
mu_beta_Employment[5],0.46,-1.06,1.98,3082,1.0
"beta_Religion[1,1]",-0.74,-2.52,1.06,1960,1.0
"beta_Religion[2,1]",-0.34,-1.83,1.2,1599,1.0
"beta_Religion[1,2]",0.34,-2.3,2.99,3429,1.0
"beta_Religion[2,2]",0.78,-1.67,3.16,3444,1.0
"beta_Religion[1,3]",1.04,-1.23,3.35,2833,1.0
"beta_Religion[2,3]",0.12,-1.62,1.96,2316,1.0
"beta_Religion[1,4]",0.95,-0.98,2.93,2169,1.0
"beta_Religion[2,4]",0.43,-1.14,1.98,1629,1.0
"beta_Religion[1,5]",-0.12,-2.02,1.69,2119,1.0
"beta_Religion[2,5]",0.3,-1.23,1.87,1594,1.0
mu_beta_Religion[1],-0.35,-1.83,1.11,2384,1.0
mu_beta_Religion[2],0.37,-1.51,2.23,2927,1.0
mu_beta_Religion[3],0.39,-1.21,2.01,2702,1.0
mu_beta_Religion[4],0.45,-1.04,1.95,2343,1.0
mu_beta_Religion[5],0.07,-1.41,1.55,2170,1.0
"beta_Political[1,1]",1.03,-0.76,2.8,2401,1.0
"beta_Political[2,1]",-0.27,-1.77,1.23,1799,1.0
"beta_Political[1,2]",0.05,-1.67,1.82,2128,1.0
"beta_Political[2,2]",0.1,-1.35,1.52,1887,1.0
"beta_Political[1,3]",-0.27,-2.36,1.95,2928,1.0
"beta_Political[2,3]",0.5,-1.34,2.3,2751,1.0
"beta_Political[1,4]",-0.59,-2.94,1.72,3119,1.0
"beta_Political[2,4]",-0.08,-1.98,1.88,2988,1.0
"beta_Political[1,5]",1.2,-0.54,2.93,2160,1.0
"beta_Political[2,5]",0.99,-0.53,2.51,1788,1.0
mu_beta_Political[1],0.24,-1.25,1.74,2698,1.0
mu_beta_Political[2],0.05,-1.34,1.45,2842,1.0
mu_beta_Political[3],0.08,-1.45,1.61,2502,1.0
mu_beta_Political[4],-0.22,-1.81,1.39,3258,1.0
mu_beta_Political[5],0.73,-0.72,2.1,2389,1.0
"beta_Ethnicity[1,1]",0.27,-1.5,2.05,2544,1.0
"beta_Ethnicity[2,1]",0.46,-1.1,2.0,2192,1.0
"beta_Ethnicity[1,2]",0.72,-1.44,2.9,3187,1.0
"beta_Ethnicity[2,2]",-0.08,-1.77,1.58,2605,1.0
"beta_Ethnicity[1,3]",-0.01,-2.05,2.1,3428,1.0
"beta_Ethnicity[2,3]",0.22,-1.53,1.94,2769,1.0
"beta_Ethnicity[1,4]",0.36,-1.71,2.49,2933,1.0
"beta_Ethnicity[2,4]",0.54,-1.32,2.43,2726,1.0
mu_beta_Ethnicity[1],0.25,-1.24,1.69,2669,1.0
mu_beta_Ethnicity[2],0.22,-1.38,1.76,3100,1.0
mu_beta_Ethnicity[3],0.08,-1.52,1.62,3066,1.0
mu_beta_Ethnicity[4],0.3,-1.28,1.83,2795,1.0
"beta_Income[1,1]",0.91,-0.87,2.71,3100,1.0
"beta_Income[2,1]",0.72,-0.69,2.11,1905,1.0
"beta_Income[1,2]",-0.69,-2.33,1.03,2213,1.0
"beta_Income[2,2]",-0.07,-1.41,1.28,1709,1.0
"beta_Income[1,3]",0.31,-1.34,2.03,2482,1.0
"beta_Income[2,3]",0.23,-1.16,1.61,1669,1.0
"beta_Income[1,4]",0.76,-0.93,2.53,2590,1.0
"beta_Income[2,4]",-0.21,-1.59,1.18,1809,1.0
"beta_Income[1,5]",0.39,-1.49,2.32,2524,1.0
"beta_Income[2,5]",0.54,-0.91,2.01,1569,1.0
"beta_Income[1,6]",-0.01,-1.95,1.95,3050,1.0
"beta_Income[2,6]",0.22,-1.3,1.7,2146,1.0
mu_beta_Income[1],0.54,-0.86,1.91,2994,1.0
mu_beta_Income[2],-0.25,-1.66,1.16,2632,1.0
mu_beta_Income[3],0.17,-1.23,1.57,2602,1.0
mu_beta_Income[4],0.19,-1.22,1.61,2680,1.0
mu_beta_Income[5],0.31,-1.17,1.76,2397,1.0
mu_beta_Income[6],0.07,-1.44,1.54,3049,1.0
"beta_Reason_Unsure_if_safe[1,1]",-0.16,-2.27,1.92,2379,1.0
"beta_Reason_Unsure_if_safe[2,1]",0.34,-1.69,2.31,1917,1.0
"beta_Reason_Unsure_if_safe[1,2]",1.52,-0.57,3.58,2533,1.0
"beta_Reason_Unsure_if_safe[2,2]",0.86,-1.15,2.81,2071,1.0
mu_beta_Reason_Unsure_if_safe[1],0.06,-1.61,1.72,2484,1.0
mu_beta_Reason_Unsure_if_safe[2],0.79,-0.83,2.42,2684,1.0
"beta_Reason_Unsure_if_effective[1,1]",1.07,-0.99,3.12,2043,1.0
"beta_Reason_Unsure_if_effective[2,1]",0.5,-1.4,2.46,1994,1.0
"beta_Reason_Unsure_if_effective[1,2]",0.34,-1.68,2.4,2080,1.0
"beta_Reason_Unsure_if_effective[2,2]",0.78,-1.13,2.76,1936,1.0
mu_beta_Reason_Unsure_if_effective[1],0.52,-1.08,2.12,2113,1.0
mu_beta_Reason_Unsure_if_effective[2],0.37,-1.22,1.98,2092,1.0
"beta_Reason_Not_at_risk[1,1]",0.61,-1.58,2.68,2433,1.0
"beta_Reason_Not_at_risk[2,1]",0.4,-1.57,2.5,2180,1.0
"beta_Reason_Not_at_risk[1,2]",0.79,-1.32,2.94,2506,1.0
"beta_Reason_Not_at_risk[2,2]",0.89,-1.1,2.98,2125,1.0
mu_beta_Reason_Not_at_risk[1],0.33,-1.28,1.98,2302,1.0
mu_beta_Reason_Not_at_risk[2],0.56,-1.05,2.26,2601,1.0
"beta_Reason_Wait_until_others[1,1]",0.92,-1.19,3.05,2331,1.0
"beta_Reason_Wait_until_others[2,1]",0.62,-1.3,2.53,1958,1.0
"beta_Reason_Wait_until_others[1,2]",0.51,-1.65,2.63,2297,1.0
"beta_Reason_Wait_until_others[2,2]",0.63,-1.33,2.63,1983,1.0
mu_beta_Reason_Wait_until_others[1],0.52,-1.08,2.13,2284,1.0
mu_beta_Reason_Wait_until_others[2],0.38,-1.23,1.98,2253,1.0
"beta_Reason_Wont_be_ill[1,1]",0.18,-1.92,2.28,2707,1.0
"beta_Reason_Wont_be_ill[2,1]",0.91,-1.07,2.91,2359,1.0
"beta_Reason_Wont_be_ill[1,2]",1.27,-0.91,3.47,2978,1.0
"beta_Reason_Wont_be_ill[2,2]",0.38,-1.57,2.4,2291,1.0
mu_beta_Reason_Wont_be_ill[1],0.37,-1.25,2.04,2703,1.0
mu_beta_Reason_Wont_be_ill[2],0.55,-1.05,2.19,2835,1.0
"beta_Reason_Other_effective_treatments[1,1]",0.59,-1.56,2.69,2835,1.0
"beta_Reason_Other_effective_treatments[2,1]",0.81,-1.22,2.85,2422,1.0
"beta_Reason_Other_effective_treatments[1,2]",0.85,-1.37,3.13,3000,1.0
"beta_Reason_Other_effective_treatments[2,2]",0.47,-1.52,2.54,2507,1.0
mu_beta_Reason_Other_effective_treatments[1],0.46,-1.22,2.06,2707,1.0
mu_beta_Reason_Other_effective_treatments[2],0.44,-1.24,2.08,2562,1.0
"beta_Reason_Already_acquired_immunity[1,1]",0.81,-1.55,3.07,2692,1.0
"beta_Reason_Already_acquired_immunity[2,1]",-0.17,-2.3,1.86,2123,1.0
"beta_Reason_Already_acquired_immunity[1,2]",0.58,-1.74,2.96,2951,1.0
"beta_Reason_Already_acquired_immunity[2,2]",1.4,-0.8,3.57,2587,1.0
mu_beta_Reason_Already_acquired_immunity[1],0.23,-1.49,1.9,2417,1.0
mu_beta_Reason_Already_acquired_immunity[2],0.67,-1.07,2.39,2422,1.0
"beta_Reason_Approval_may_be_rushed[1,1]",0.21,-1.91,2.29,2373,1.0
"beta_Reason_Approval_may_be_rushed[2,1]",0.11,-1.84,2.04,2223,1.0
"beta_Reason_Approval_may_be_rushed[1,2]",1.22,-0.91,3.27,2103,1.0
"beta_Reason_Approval_may_be_rushed[2,2]",1.14,-0.89,3.16,2176,1.0
mu_beta_Reason_Approval_may_be_rushed[1],0.11,-1.56,1.75,2512,1.0
mu_beta_Reason_Approval_may_be_rushed[2],0.78,-0.87,2.37,2298,1.0
"beta_Reason_Other[1,1]",-0.42,-2.61,1.77,2564,1.0
"beta_Reason_Other[2,1]",-0.13,-2.22,1.81,2227,1.0
"beta_Reason_Other[1,2]",1.85,-0.48,4.13,2615,1.0
"beta_Reason_Other[2,2]",1.38,-0.73,3.48,2495,1.0
mu_beta_Reason_Other[1],-0.19,-1.82,1.47,2467,1.0
mu_beta_Reason_Other[2],1.09,-0.51,2.73,2438,1.0
"beta_Reason_Do_not_know[1,1]",0.68,-1.45,2.89,2559,1.0
"beta_Reason_Do_not_know[2,1]",0.55,-1.48,2.58,2188,1.0
"beta_Reason_Do_not_know[1,2]",0.62,-1.57,2.9,2907,1.0
"beta_Reason_Do_not_know[2,2]",0.61,-1.45,2.64,2292,1.0
mu_beta_Reason_Do_not_know[1],0.41,-1.21,2.05,2434,1.0
mu_beta_Reason_Do_not_know[2],0.41,-1.16,2.06,2579,1.0
mu_delta[1],1.33,0.22,3.42,4527,1.0
mu_delta[2],1.58,0.26,4.05,4695,1.0
"delta[1,1]",0.43,0.34,0.53,3887,1.0
"delta[2,1]",0.42,0.36,0.49,3301,1.0
"delta[1,2]",0.57,0.47,0.66,3887,1.0
"delta[2,2]",0.58,0.51,0.64,3301,1.0
mu_alpha[1],-1.32,-2.48,-0.18,5710,1.0
mu_alpha[2],1.34,0.22,2.44,5502,1.0
mu_alpha[3],3.32,2.16,4.49,4558,1.0
"alpha[1,1]",-1.84,-2.15,-1.54,4586,1.0
"alpha[2,1]",-2.14,-2.35,-1.94,3795,1.0
"alpha[1,2]",2.63,2.23,3.07,5302,1.0
"alpha[2,2]",1.4,1.24,1.57,4555,1.0
"alpha[1,3]",6.14,5.38,6.99,5454,1.0
"alpha[2,3]",3.78,3.47,4.1,4139,1.0
