,Mean,2.5%,97.5%,ESS,Rhat
mu_beta_Religion[4],0.84,-0.51,2.19,3038,1.0
mu_beta_Religion[5],0.67,-0.68,2.07,3026,1.0
"beta_Political[1,1]",0.97,-0.44,2.31,2167,1.0
"beta_Political[2,1]",0.92,-0.29,2.16,1470,1.0
"beta_Political[1,2]",0.8,-0.62,2.14,2237,1.0
"beta_Political[2,2]",0.97,-0.24,2.21,1402,1.0
"beta_Political[1,3]",1.24,-0.4,2.8,2645,1.0
"beta_Political[2,3]",0.59,-0.78,1.95,1828,1.0
"beta_Political[1,4]",1.0,-0.86,2.86,3326,1.0
"beta_Political[2,4]",0.57,-0.91,2.06,2351,1.0
"beta_Political[1,5]",1.28,-0.14,2.59,2191,1.0
"beta_Political[2,5]",1.64,0.41,2.86,1490,1.0
mu_beta_Political[1],0.63,-0.71,1.93,3117,1.0
mu_beta_Political[2],0.58,-0.76,1.9,3003,1.0
mu_beta_Political[3],0.61,-0.77,1.97,3357,1.0
mu_beta_Political[4],0.52,-0.93,1.98,3591,1.0
mu_beta_Political[5],0.98,-0.42,2.34,3207,1.0
"beta_Ethnicity[1,1]",1.44,-0.05,2.99,2473,1.0
"beta_Ethnicity[2,1]",1.2,-0.17,2.54,1868,1.0
"beta_Ethnicity[1,2]",1.67,-0.17,3.62,3115,1.0
"beta_Ethnicity[2,2]",0.93,-0.57,2.43,2184,1.0
"beta_Ethnicity[1,3]",1.17,-0.51,2.88,2637,1.0
"beta_Ethnicity[2,3]",1.16,-0.31,2.63,2098,1.0
"beta_Ethnicity[1,4]",0.9,-0.88,2.68,2960,1.0
"beta_Ethnicity[2,4]",1.28,-0.32,2.9,2388,1.0
mu_beta_Ethnicity[1],0.88,-0.5,2.25,2801,1.0
mu_beta_Ethnicity[2],0.86,-0.65,2.36,3157,1.0
mu_beta_Ethnicity[3],0.78,-0.71,2.27,3159,1.0
mu_beta_Ethnicity[4],0.72,-0.71,2.14,3553,1.0
"beta_Income[1,1]",1.18,-0.23,2.55,2185,1.0
"beta_Income[2,1]",1.15,-0.07,2.37,1609,1.0
"beta_Income[1,2]",0.27,-1.06,1.65,2178,1.0
"beta_Income[2,2]",0.9,-0.3,2.07,1568,1.0
"beta_Income[1,3]",0.98,-0.45,2.43,2206,1.0
"beta_Income[2,3]",0.54,-0.66,1.74,1551,1.0
"beta_Income[1,4]",1.34,-0.01,2.68,1965,1.0
"beta_Income[2,4]",0.48,-0.7,1.69,1529,1.0
"beta_Income[1,5]",0.79,-0.6,2.28,2381,1.0
"beta_Income[2,5]",1.05,-0.15,2.25,1678,1.0
"beta_Income[1,6]",0.74,-0.77,2.22,2506,1.0
"beta_Income[2,6]",0.67,-0.6,1.93,1695,1.0
mu_beta_Income[1],0.76,-0.56,2.1,3480,1.0
mu_beta_Income[2],0.39,-0.94,1.74,3495,1.0
mu_beta_Income[3],0.51,-0.8,1.88,3066,1.0
mu_beta_Income[4],0.61,-0.68,1.96,2947,1.0
mu_beta_Income[5],0.6,-0.75,1.92,3192,1.0
mu_beta_Income[6],0.47,-0.86,1.83,2747,1.0
"beta_Social_media_usage[1,1]",1.15,-0.21,2.56,2746,1.0
"beta_Social_media_usage[2,1]",0.73,-0.42,1.89,1635,1.0
"beta_Social_media_usage[1,2]",-0.36,-1.75,1.07,2860,1.0
"beta_Social_media_usage[2,2]",0.34,-0.82,1.47,1538,1.0
"beta_Social_media_usage[1,3]",1.01,-0.3,2.32,2234,1.0
"beta_Social_media_usage[2,3]",0.32,-0.8,1.44,1410,1.0
"beta_Social_media_usage[1,4]",0.32,-0.95,1.62,2353,1.0
"beta_Social_media_usage[2,4]",0.31,-0.79,1.46,1410,1.0
"beta_Social_media_usage[1,5]",0.66,-0.68,1.97,2300,1.0
"beta_Social_media_usage[2,5]",0.83,-0.31,1.94,1463,1.0
"beta_Social_media_usage[1,6]",1.41,-0.04,2.89,2857,1.0
"beta_Social_media_usage[2,6]",1.28,0.11,2.48,1679,1.0
"beta_Social_media_usage[1,7]",1.11,-0.26,2.51,2863,1.0
"beta_Social_media_usage[2,7]",0.77,-0.37,1.91,1604,1.0
mu_beta_Social_media_usage[1],0.64,-0.62,1.95,3526,1.0
mu_beta_Social_media_usage[2],-0.0,-1.36,1.36,3787,1.0
mu_beta_Social_media_usage[3],0.45,-0.83,1.76,3325,1.0
mu_beta_Social_media_usage[4],0.21,-1.09,1.55,3737,1.0
mu_beta_Social_media_usage[5],0.49,-0.8,1.84,3877,1.0
mu_beta_Social_media_usage[6],0.89,-0.44,2.21,3321,1.0
mu_beta_Social_media_usage[7],0.63,-0.71,1.96,3606,1.0
mu_delta[1],1.69,0.36,3.97,5820,1.0
mu_delta[2],1.49,0.34,3.4,5298,1.0
mu_delta[3],1.61,0.34,3.79,6287,1.0
"delta[1,1]",0.37,0.33,0.42,4729,1.0
"delta[2,1]",0.36,0.33,0.39,4867,1.0
"delta[1,2]",0.31,0.25,0.37,5646,1.0
"delta[2,2]",0.29,0.25,0.33,5927,1.0
"delta[1,3]",0.32,0.24,0.4,5045,1.0
"delta[2,3]",0.35,0.31,0.4,4572,1.0
mu_alpha[1],1.19,0.06,2.32,8872,1.0
mu_alpha[2],3.46,2.27,4.6,8234,1.0
mu_alpha[3],5.01,3.91,6.18,6979,1.0
"alpha[1,1]",2.17,1.9,2.44,6624,1.0
"alpha[2,1]",1.41,1.29,1.53,7484,1.0
"alpha[1,2]",6.03,5.57,6.5,7811,1.0
"alpha[2,2]",4.35,4.15,4.56,7118,1.0
"alpha[1,3]",8.58,7.93,9.29,6797,1.0
"alpha[2,3]",6.49,6.2,6.79,7319,1.0
