,Mean,2.5%,97.5%,ESS,Rhat
"beta_Political[1,2]",-0.77,-2.23,0.65,1255,1.0
"beta_Political[2,2]",-0.82,-2.25,0.6,1380,1.0
"beta_Political[1,3]",-0.45,-1.9,0.99,1304,1.0
"beta_Political[2,3]",-0.51,-1.93,0.95,1373,1.0
mu_beta_Political[1],-0.45,-1.84,0.97,2132,1.0
mu_beta_Political[2],-0.54,-1.9,0.8,2179,1.0
mu_beta_Political[3],-0.32,-1.68,1.06,2383,1.0
"beta_Ethnicity[1,1]",-0.56,-1.73,0.62,988,1.0
"beta_Ethnicity[2,1]",-0.36,-1.55,0.83,882,1.0
"beta_Ethnicity[1,2]",-0.74,-1.95,0.53,1079,1.0
"beta_Ethnicity[2,2]",-0.41,-1.63,0.8,881,1.0
"beta_Ethnicity[1,3]",-0.38,-1.6,0.84,992,1.0
"beta_Ethnicity[2,3]",-0.12,-1.32,1.1,910,1.0
"beta_Ethnicity[1,4]",-0.59,-1.86,0.65,1041,1.0
"beta_Ethnicity[2,4]",-0.78,-2.01,0.42,924,1.0
"beta_Ethnicity[1,5]",0.39,-0.87,1.62,1034,1.0
"beta_Ethnicity[2,5]",-0.41,-1.62,0.82,936,1.0
mu_beta_Ethnicity[1],-0.3,-1.63,1.05,2149,1.0
mu_beta_Ethnicity[2],-0.39,-1.7,0.97,1973,1.0
mu_beta_Ethnicity[3],-0.18,-1.54,1.12,2086,1.0
mu_beta_Ethnicity[4],-0.47,-1.85,0.85,2186,1.0
mu_beta_Ethnicity[5],0.0,-1.32,1.34,2012,1.0
"beta_Income[1,1]",0.11,-1.08,1.29,943,1.0
"beta_Income[2,1]",-0.2,-1.34,0.96,972,1.0
"beta_Income[1,2]",-0.22,-1.38,0.93,928,1.0
"beta_Income[2,2]",-0.27,-1.4,0.84,966,1.0
"beta_Income[1,3]",-0.2,-1.41,0.93,978,1.0
"beta_Income[2,3]",-0.54,-1.67,0.57,977,1.0
"beta_Income[1,4]",-0.35,-1.56,0.78,924,1.0
"beta_Income[2,4]",-0.38,-1.51,0.74,972,1.0
"beta_Income[1,5]",-0.79,-2.0,0.41,973,1.0
"beta_Income[2,5]",-0.27,-1.39,0.86,980,1.01
"beta_Income[1,6]",-0.28,-1.49,0.9,1021,1.0
"beta_Income[2,6]",-0.4,-1.57,0.74,991,1.01
mu_beta_Income[1],-0.03,-1.33,1.26,2256,1.0
mu_beta_Income[2],-0.19,-1.46,1.11,2359,1.0
mu_beta_Income[3],-0.25,-1.55,1.03,2123,1.0
mu_beta_Income[4],-0.25,-1.56,1.09,2263,1.0
mu_beta_Income[5],-0.36,-1.67,0.97,2136,1.0
mu_beta_Income[6],-0.24,-1.57,1.12,2170,1.0
mu_beta,4.94,3.77,6.1,4887,1.0
beta[1],7.57,6.89,8.26,3643,1.0
beta[2],7.31,6.94,7.68,4050,1.0
mu_delta[1],1.7,0.36,4.09,3811,1.0
mu_delta[2],1.43,0.29,3.36,3706,1.0
mu_delta[3],1.6,0.33,3.82,3962,1.0
"delta[1,1]",0.38,0.33,0.43,5039,1.0
"delta[2,1]",0.37,0.35,0.4,4989,1.0
"delta[1,2]",0.28,0.21,0.34,4918,1.0
"delta[2,2]",0.29,0.26,0.32,4974,1.0
"delta[1,3]",0.35,0.28,0.41,4498,1.0
"delta[2,3]",0.34,0.3,0.37,4204,1.0
mu_alpha[1],-1.2,-2.6,0.19,2796,1.0
mu_alpha[2],0.59,-0.81,2.0,3106,1.0
mu_alpha[3],1.87,0.48,3.27,2974,1.0
"alpha[1,1]",-1.86,-3.4,-0.37,2265,1.0
"alpha[2,1]",-1.77,-3.23,-0.29,2137,1.0
"alpha[1,2]",0.82,-0.69,2.3,2312,1.0
"alpha[2,2]",0.92,-0.54,2.41,2152,1.0
"alpha[1,3]",2.77,1.25,4.26,2328,1.0
"alpha[2,3]",2.84,1.39,4.33,2154,1.0
