,Mean,2.5%,97.5%,ESS,Rhat
"beta_Ethnicity[2,1]",1.02,-0.2,2.29,882,1.01
"beta_Ethnicity[1,2]",0.25,-1.24,1.76,1361,1.0
"beta_Ethnicity[2,2]",0.71,-0.6,2.04,978,1.01
"beta_Ethnicity[1,3]",0.77,-0.64,2.17,1160,1.0
"beta_Ethnicity[2,3]",0.96,-0.26,2.21,937,1.01
"beta_Ethnicity[1,4]",0.27,-1.44,1.99,1843,1.01
"beta_Ethnicity[2,4]",-0.27,-1.65,1.1,1182,1.01
"beta_Ethnicity[1,5]",1.6,0.1,3.11,1287,1.0
"beta_Ethnicity[2,5]",0.76,-0.55,2.09,929,1.01
mu_beta_Ethnicity[1],0.59,-0.76,1.95,2014,1.0
mu_beta_Ethnicity[2],0.33,-1.0,1.68,2075,1.0
mu_beta_Ethnicity[3],0.56,-0.74,1.9,1714,1.0
mu_beta_Ethnicity[4],-0.0,-1.43,1.43,2109,1.0
mu_beta_Ethnicity[5],0.79,-0.56,2.12,1819,1.0
"beta_Income[1,1]",1.05,-0.26,2.36,1238,1.0
"beta_Income[2,1]",0.48,-0.68,1.61,832,1.0
"beta_Income[1,2]",0.6,-0.67,1.81,1120,1.0
"beta_Income[2,2]",0.66,-0.46,1.75,807,1.0
"beta_Income[1,3]",0.75,-0.55,2.03,1233,1.0
"beta_Income[2,3]",0.4,-0.72,1.56,804,1.0
"beta_Income[1,4]",0.44,-0.85,1.68,1177,1.0
"beta_Income[2,4]",0.6,-0.52,1.71,798,1.0
"beta_Income[1,5]",-0.04,-1.49,1.4,1556,1.0
"beta_Income[2,5]",0.5,-0.63,1.63,842,1.0
"beta_Income[1,6]",1.04,-0.35,2.45,1440,1.0
"beta_Income[2,6]",0.76,-0.44,1.95,889,1.0
mu_beta_Income[1],0.51,-0.85,1.85,2149,1.0
mu_beta_Income[2],0.42,-0.87,1.75,1916,1.0
mu_beta_Income[3],0.39,-0.97,1.72,2059,1.0
mu_beta_Income[4],0.34,-0.99,1.62,2236,1.0
mu_beta_Income[5],0.16,-1.19,1.47,2052,1.0
mu_beta_Income[6],0.6,-0.7,1.9,1979,1.0
"beta_Social_media_usage[1,1]",0.91,-0.41,2.24,1285,1.0
"beta_Social_media_usage[2,1]",0.64,-0.44,1.73,865,1.0
"beta_Social_media_usage[1,2]",0.31,-1.11,1.73,1381,1.0
"beta_Social_media_usage[2,2]",0.03,-1.11,1.13,857,1.0
"beta_Social_media_usage[1,3]",0.47,-0.78,1.71,1126,1.0
"beta_Social_media_usage[2,3]",0.1,-0.96,1.16,839,1.0
"beta_Social_media_usage[1,4]",0.61,-0.64,1.84,1150,1.0
"beta_Social_media_usage[2,4]",0.42,-0.66,1.52,899,1.0
"beta_Social_media_usage[1,5]",0.5,-0.74,1.75,1106,1.0
"beta_Social_media_usage[2,5]",0.55,-0.53,1.67,877,1.0
"beta_Social_media_usage[1,6]",-0.27,-1.57,0.97,1189,1.0
"beta_Social_media_usage[2,6]",0.77,-0.36,1.92,907,1.0
"beta_Social_media_usage[1,7]",0.94,-0.3,2.21,1168,1.0
"beta_Social_media_usage[2,7]",0.62,-0.46,1.73,838,1.0
mu_beta_Social_media_usage[1],0.52,-0.83,1.82,2316,1.0
mu_beta_Social_media_usage[2],0.12,-1.22,1.44,2167,1.0
mu_beta_Social_media_usage[3],0.19,-1.1,1.53,2347,1.0
mu_beta_Social_media_usage[4],0.34,-0.93,1.56,2107,1.0
mu_beta_Social_media_usage[5],0.34,-0.96,1.64,2097,1.0
mu_beta_Social_media_usage[6],0.17,-1.1,1.43,2251,1.0
mu_beta_Social_media_usage[7],0.52,-0.76,1.83,2130,1.0
mu_delta[1],1.65,0.38,3.86,4982,1.0
mu_delta[2],1.42,0.32,3.39,5507,1.0
mu_delta[3],1.7,0.39,3.96,6127,1.0
"delta[1,1]",0.35,0.3,0.39,3761,1.0
"delta[2,1]",0.37,0.34,0.4,4143,1.0
"delta[1,2]",0.26,0.21,0.32,6059,1.0
"delta[2,2]",0.28,0.25,0.32,6763,1.0
"delta[1,3]",0.39,0.33,0.45,4343,1.0
"delta[2,3]",0.35,0.31,0.38,5316,1.0
mu_alpha[1],1.08,-0.04,2.21,6024,1.0
mu_alpha[2],2.82,1.7,3.94,6506,1.0
mu_alpha[3],4.17,3.02,5.31,6946,1.0
"alpha[1,1]",1.89,1.62,2.17,4741,1.0
"alpha[2,1]",1.33,1.19,1.47,5318,1.0
"alpha[1,2]",4.47,4.08,4.86,5596,1.0
"alpha[2,2]",3.99,3.78,4.21,5411,1.0
"alpha[1,3]",6.52,6.02,7.01,6345,1.0
"alpha[2,3]",5.95,5.68,6.23,7148,1.0
