,Mean,2.5%,97.5%,ESS,Rhat
mu_beta_Income[6],-0.23,-1.5,1.11,1911,1.0
mu_beta,5.02,3.87,6.2,6509,1.0
beta[1],7.55,6.88,8.24,3604,1.0
beta[2],7.55,7.14,7.98,3510,1.0
mu_delta[1],1.77,0.35,4.25,4727,1.0
mu_delta[2],1.43,0.31,3.38,4523,1.0
mu_delta[3],1.5,0.31,3.56,5060,1.0
"delta[1,1]",0.43,0.38,0.49,4133,1.0
"delta[2,1]",0.38,0.35,0.41,4529,1.0
"delta[1,2]",0.29,0.23,0.35,6265,1.0
"delta[2,2]",0.28,0.24,0.31,5387,1.0
"delta[1,3]",0.27,0.2,0.34,4933,1.0
"delta[2,3]",0.34,0.3,0.38,4123,1.0
mu_alpha[1],-1.18,-2.57,0.23,2492,1.0
mu_alpha[2],0.61,-0.79,1.99,2586,1.0
mu_alpha[3],1.89,0.51,3.3,2319,1.0
"alpha[1,1]",-1.76,-3.23,-0.26,1884,1.0
"alpha[2,1]",-1.76,-3.25,-0.29,1860,1.0
"alpha[1,2]",0.9,-0.57,2.36,1897,1.0
"alpha[2,2]",0.91,-0.57,2.37,1886,1.0
"alpha[1,3]",2.86,1.37,4.32,1932,1.0
"alpha[2,3]",2.8,1.32,4.26,1938,1.0
